season,date,match_name,result,h_odd,d_odd,a_odd,source_file
2004/2005,Unknown,Southampton vs Crystal Palace,2-2,-102.0,225.0,254.0,2004-2005_full.csv
2004/2005,Unknown,West Brom vs Manchester Utd,0-3,625.0,295.0,-250.0,2004-2005_full.csv
2004/2005,Unknown,Fulham vs Blackburn,0-2,-108.0,227.0,270.0,2004-2005_full.csv
2004/2005,Unknown,Aston Villa vs Tottenham,1-0,-103.0,223.0,262.0,2004-2005_full.csv
2004/2005,Unknown,Blackburn vs Birmingham,3-3,129.0,220.0,188.0,2004-2005_full.csv
2004/2005,Unknown,Portsmouth vs Manchester City,1-3,124.0,223.0,195.0,2004-2005_full.csv
2004/2005,Unknown,Chelsea vs Bolton,2-2,-278.0,308.0,743.0,2004-2005_full.csv
2004/2005,Unknown,Arsenal vs West Brom,1-1,-667.0,540.0,899.0,2004-2005_full.csv
2004/2005,Unknown,Crystal Palace vs Newcastle,0-2,188.0,218.0,129.0,2004-2005_full.csv
2004/2005,Unknown,Everton vs Fulham,1-0,-127.0,233.0,328.0,2004-2005_full.csv
2004/2005,Unknown,Middlesbrough vs Liverpool,2-0,137.0,217.0,185.0,2004-2005_full.csv
2004/2005,Unknown,Norwich vs Southampton,2-1,129.0,212.0,198.0,2004-2005_full.csv
2004/2005,Unknown,Manchester Utd vs Charlton,2-0,-323.0,357.0,783.0,2004-2005_full.csv
2004/2005,Unknown,Newcastle vs Manchester Utd,1-3,220.0,222.0,117.0,2004-2005_full.csv
2004/2005,Unknown,West Brom vs Middlesbrough,1-2,200.0,217.0,124.0,2004-2005_full.csv
2004/2005,Unknown,Birmingham vs Everton,0-1,125.0,216.0,199.0,2004-2005_full.csv
2004/2005,Unknown,Bolton vs Aston Villa,1-2,112.0,222.0,220.0,2004-2005_full.csv
2004/2005,Unknown,Charlton vs Norwich,4-0,-116.0,227.0,298.0,2004-2005_full.csv
2004/2005,Unknown,Fulham vs Chelsea,1-4,476.0,236.0,-167.0,2004-2005_full.csv
2004/2005,Unknown,Liverpool vs Crystal Palace,3-2,-250.0,288.0,685.0,2004-2005_full.csv
2004/2005,Unknown,Manchester City vs Blackburn,1-1,-119.0,237.0,300.0,2004-2005_full.csv
2004/2005,Unknown,Southampton vs Portsmouth,2-1,138.0,217.0,177.0,2004-2005_full.csv
2004/2005,Unknown,Tottenham vs Arsenal,4-5,397.0,231.0,-143.0,2004-2005_full.csv
2004/2005,Unknown,Manchester Utd vs Manchester City,0-0,-250.0,285.0,695.0,2004-2005_full.csv
2004/2005,Unknown,Newcastle vs Fulham,1-4,-192.0,252.0,533.0,2004-2005_full.csv
2004/2005,Unknown,Middlesbrough vs Bolton,1-1,-105.0,222.0,262.0,2004-2005_full.csv
2004/2005,Unknown,Crystal Palace vs Arsenal,1-1,633.0,305.0,-256.0,2004-2005_full.csv
2004/2005,Unknown,Chelsea vs Everton,1-0,-256.0,297.0,671.0,2004-2005_full.csv
2004/2005,Unknown,Liverpool vs Birmingham,0-1,-185.0,250.0,500.0,2004-2005_full.csv
